"TOA5","HVL","CR1000","E11924","CR1000.Std.16","CPU:Promice2015e.CR1","65241","TxBufferTable"
"TIMESTAMP","RECORD","TxBufferString"
"TS","RN",""
"","","Smp"
"2020-10-22 19:00:00",5141,"'2020-10-22 19:00:00',882,2.018,42.02,96,1.945,267.8,-0.714,0.275,-2.975,-2.066,1.872,'!S'  "
"2020-10-22 20:00:00",5142,"'2020-10-22 20:00:00',882,1.65,41.61,86.9,5.862,270.3,-2.253,2.363,-6.693,-0.744,1.221,'!S'  "
"2020-10-22 21:00:00",5143,"'2020-10-22 21:00:00',882,1.306,41.31,84.9,8.17,264.4,-1.484,2.088,-20.34,-1.801,0.997,'!S'  "
"2020-10-22 22:00:00",5144,"'2020-10-22 22:00:00',882,1.074,41.05,82.7,8.65,263.6,0.165,2.033,-22.15,-2.066,0.781,'!S'  "
"2020-10-22 23:00:00",5145,"'2020-10-22 23:00:00',883,0.413,40.4,86.9,8.21,266,-0.165,0.934,-10.96,-0.645,0.203,'!S'  "
"2020-10-23 00:00:00",5146,"'2020-10-23 00:00:00',883,0.069,40.05,87.6,9.07,264.9,0.11,0.769,-8.33,-0.397,-0.098,'!S',2.669,NAN,NAN,-109,NAN,-109,NAN,-109,NAN,-109,NAN,-0.769,0.42,'GT215812.00','NH6133.52073','EH00747.77478','989.2','0.89',124.7,12.77,-117,-0.167,87.8,9.5,274,'!I'  "
"2020-10-23 01:00:00",5147,"'2020-10-23 01:00:00',883,-0.052,39.92,83.1,9.12,265,0.11,0.879,-12.68,-0.859,-0.231,'!S'  "
"2020-10-23 02:00:00",5148,"'2020-10-23 02:00:00',884,-0.393,39.6,84.2,8.93,262.3,0.055,0.385,-7.47,-0.463,-0.529,'!S'  "
"2020-10-23 03:00:00",5149,"'2020-10-23 03:00:00',884,-0.32,39.64,82.5,7.698,261.9,0.055,0.55,-9.8,-1.008,-0.476,'!S'  "
"2020-10-23 04:00:00",5150,"'2020-10-23 04:00:00',885,-0.5,39.48,82.3,7.952,263,-2.033,0.44,-48.69,-2.793,-0.676,'!S'  "
