"TOA5","CR1000","CR1000","E11924","CR1000.Std.16","CPU:Promice2015e.CR1","65241","TxBufferTable"
"TIMESTAMP","RECORD","TxBufferString"
"TS","RN",""
"","","Smp"
"2020-05-01 07:00:00",953,"'2020-05-01 07:00:00',885,-2.088,38.11,84,1.205,110.5,64.09,44.79,-15.17,-3.223,-1.719,'!S'  "
"2020-05-01 08:00:00",954,"'2020-05-01 08:00:00',885,-2.422,37.95,91.1,0.904,74.64,187.5,131.3,-18.46,-4.91,-1.148,'!S'  "
"2020-05-01 09:00:00",955,"'2020-05-01 09:00:00',885,-1.699,39.02,82.4,0.411,49.9,308.5,210.5,-45.87,-15.6,1.425,'!S'  "
"2020-05-01 10:00:00",956,"'2020-05-01 10:00:00',885,-1.059,40.17,74.7,1.022,30.01,587.1,394,-68.9,-24.31,4.017,'!S'  "
"2020-05-01 11:00:00",957,"'2020-05-01 11:00:00',885,-0.677,40.63,76.04,1.642,31.27,693.6,473.2,-57.84,-22.87,4.127,'!S'  "
"2020-05-01 12:00:00",958,"'2020-05-01 12:00:00',885,-0.472,41.05,73.29,1.251,14.8,752.2,522.9,-50.9,-26.34,5.275,'!S',2.355,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.562,0.955,'GT095837.00','NH6133.52014','EH00747.77528','991.0','0.69',143,14.36,-114.5,-0.333,73.25,1.235,344.8,'!I'  "
"2020-05-01 13:00:00",959,"'2020-05-01 13:00:00',885,-0.604,41.22,73.66,0.711,234.3,794.7,568.1,-49.57,-35.44,7.404,'!S'  "
"2020-05-01 14:00:00",960,"'2020-05-01 14:00:00',885,-0.638,41.18,76.28,0.82,283.8,631.8,440.9,-43.14,-37.32,7.816,'!S'  "
"2020-05-01 15:00:00",961,"'2020-05-01 15:00:00',886,-1.225,39.74,89,1.576,27.25,486.8,371.1,-13.88,-11.65,1.952,'!S'  "
"2020-05-01 16:00:00",962,"'2020-05-01 16:00:00',886,-1.288,39.65,89.4,1.551,48.87,438,356.2,-10.66,-10.56,1.526,'!S'  "
